locationCode,locationName,propertyCode,lat,lon,depth
USSLP.P1,Pressure 0.84 mbsf,"seawatertemperature",49.085321,-123.329648,105
USSLP.P2,Pressure 1.84 mbsf,"seawatertemperature",49.085321,-123.329648,105
USSLP.P3,Pressure 2.64 mbsf,"seawatertemperature",49.085321,-123.329648,105
VIC9,Patrol 9,"conductivity,seawatertemperature,salinity",48.649178,-123.446225,81.71146
YPVPF,Instrument Float,"conductivity,seawatertemperature,salinity,oxygen",48.622442,-123.498817,0.5
YPVPP,Profiling Instrument Package,"conductivity,seawatertemperature,salinity",48.622398,-123.498835,232.620909
YPVPP.C1,NOTC Project - Seabird 19plus CTD,"conductivity,seawatertemperature,salinity",48.622283,-123.498883,295.45
YPVPP.C2,NOTC Project - SZC15-3 CTD,"conductivity,seawatertemperature,salinity",48.622283,-123.498883,295.45
YPVPP.O1,Oxygen Rinko,"seawatertemperature,oxygen",48.622398,-123.498835,232.620909
YPVPP.O2,Oxygen SBE43,"oxygen",48.622442,-123.498817,209.06
